,encode,set_num,ign_len,rep_time,data_block_delta,similarity,label
1178,001011010,1,3,11.0,13.0,0.0,0
1179,001011011,1,3,10.0,13.0,0.0,0
1180,001011100,1,3,11.0,13.0,0.0,0
1181,001011101,1,3,10.0,13.0,0.0,0
1182,001011110,1,3,11.0,13.0,0.0,0
1183,001011111,1,3,10.0,13.0,0.0,0
1184,001100011,2,3,10.0,8.5,0.0,0
1185,001100101,1,3,13.0,5.0,0.3865006029094686,0
1186,001100110,1,3,11.0,13.0,0.0,0
1187,001100111,1,3,10.0,13.0,0.0,0
1188,001101001,1,3,10.0,13.0,0.0,0
1189,001101010,1,3,11.0,13.0,0.0,0
1190,001101011,1,3,10.0,13.0,0.0,0
1191,001101100,1,3,11.0,13.0,0.0,0
1192,001101101,1,3,10.0,13.0,0.0,0
1193,001101110,1,3,11.0,13.0,0.0,0
1194,001101111,1,3,10.0,13.0,0.0,0
1195,001110001,1,3,13.0,5.0,0.4065785563073631,0
1196,001110010,1,3,11.0,13.0,0.0,0
1197,001110011,1,3,10.0,13.0,0.0,0
1198,001110100,1,3,16.0,4.0,0.3674234614174767,1
1199,001110101,1,3,13.0,5.0,0.4065785563073631,0
1200,001110110,1,3,11.0,13.0,0.0,0
1201,001110111,1,3,10.0,13.0,0.0,0
1202,001111000,1,3,11.0,13.0,0.0,0
1203,001111001,1,3,10.0,13.0,0.0,0
1204,001111010,1,3,11.0,13.0,0.0,0
1205,001111011,1,3,10.0,13.0,0.0,0
1206,001111100,1,3,11.0,13.0,0.0,0
1207,001111101,1,3,10.0,13.0,0.0,0
1208,001111110,1,3,11.0,13.0,0.0,0
1209,001111111,1,3,10.0,13.0,0.0,0
1210,010000111,1,3,10.0,13.0,0.0,0
1211,010001011,1,3,10.0,13.0,0.0,0
1212,010001101,1,3,10.0,13.0,0.0,0
1213,010001110,1,3,11.0,13.0,0.0,0
1214,010001111,1,3,10.0,13.0,0.0,0
1215,010010011,1,3,10.0,13.0,0.0,0
1216,010010101,1,3,13.0,5.0,0.4065785563073631,0
1217,010010110,1,3,11.0,13.0,0.0,0
1218,010010111,1,3,10.0,13.0,0.0,0
1219,010011001,1,3,10.0,13.0,0.0,0
1220,010011010,1,3,11.0,13.0,0.0,0
1221,010011011,1,3,10.0,13.0,0.0,0
1222,010011100,1,3,11.0,13.0,0.0,0
1223,010011101,1,3,10.0,13.0,0.0,0
1224,010011110,1,3,11.0,13.0,0.0,0
1225,010011111,1,3,10.0,13.0,0.0,0
1226,010100011,2,3,10.0,8.5,0.0,0
1227,010100101,1,3,13.0,5.0,0.4177522091055419,0
1228,010100110,1,3,11.0,13.0,0.0,0
1229,010100111,1,3,10.0,13.0,0.0,0
